name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Watery Grave,True,1,15.93,15.93,2020-03-29
Breeding Pool,True,1,34.49,34.49,2020-04-07
"Nicol Bolas, Dragon-God",True,1,12.84,12.82,2020-04-07
"Heliod, Sun-Crowned",True,1,12.49,12.49,2020-04-07
Underworld Breach (Extended Art),True,1,19.99,18.54,2020-04-07
"Yarok, the Desecrated",True,2,17.189999999999998,16.89,2020-04-09
Overgrown Tomb,True,1,17.17,17.17,2020-04-08
"Polukranos, Unchained (Extended Art)",True,1,17.91,17.91,2020-04-08
Thassa's Oracle (Extended Art),False,1,7.75,7.7,2020-04-08
"Sorin, Imperious Bloodlord",False,1,8.19,8.19,2020-04-09
Overgrown Tomb,False,1,8.99,8.99,2020-04-09
"Oko, Thief of Crowns",False,1,9.3,9.3,2020-04-09
