name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Mystical Dispute,True,1,7.14,6.5,2020-03-09
Brazen Borrower,False,1,22.33,21.87,2020-03-09
Hydroid Krasis,True,1,27.7,27.7,2020-03-11
"Kaya, Orzhov Usurper",True,1,9.7,9.7,2020-03-11
Hydroid Krasis,False,1,18.24,18.05,2020-03-11
"Liliana, Dreadhorde General",False,1,15.5,15.29,2020-03-11
Brazen Borrower,True,1,26.99,29.99,2020-03-11
"Ajani, Strength of the Pride",False,1,10.2,9.99,2020-03-13
"Vivien, Arkbow Ranger",False,1,8.49,8.49,2020-03-13
Sacred Foundry,True,1,11.08,11.08,2020-03-13
Assassin's Trophy,False,1,13.2,12.84,2020-03-13
Overgrown Tomb,False,1,10.52,10.51,2020-03-13
Steam Vents,False,1,11.04,10.53,2020-03-13
"Jace, Wielder of Mysteries",True,1,10.99,10.97,2020-03-13
Absorb,True,1,8.32,8.32,2020-03-14
Smothering Tithe,True,1,27.08,27.08,2020-03-14
Embercleave,False,1,15.48,15.48,2020-03-14
